slug,name,category,category_id,category_label,artifact_type,catalog_status,lifecycle,description,best_for,use_cases,ecosystems,capabilities,license,pricing,installation,supported_php,website,repository,packagist,latest_version,latest_release_tag,stars,repo_updated_at,reviewed_at,successor_of,supersedes
aislop,aislop,Misc,misc,Specialized tools,analyzer,current,Active,"Catch the slop AI coding agents leave in your code: narrative comments, swallowed exceptions, as-any casts, dead code, oversized functions. 50+ rules across 8 languages (TypeScript, JavaScript, Python, Go, Rust, Ruby, PHP). Sub-second, deterministic, no LLM at runtime. MIT-licensed.",Detecting AI-code mistakes and quality regressions before merge,ai-code-review|maintainability,generic,,,,,,https://scanaislop.com,https://github.com/scanaislop/aislop,,,v0.14.0,542,2026-08-06T23:54:30Z,2026-08-08,,
ast-metrics,AST Metrics,Metrics,metrics,Metrics and architecture,metrics,current,Active,"See the   invisible structure of your code. Multi-language code quality and architecture analyzer (Go,   PHP, Python, Rust...)","Multi-language architecture, dependency, complexity, and code-structure metrics.",metrics|architecture,generic,,,,,,http://ast-metrics.dev,https://github.com/ast-metrics/ast-metrics,,,v0.40.3,151,2026-07-29T20:14:38Z,2026-08-08,,
better-reflection,Better Reflection,DIY,libraries-building-blocks,Libraries and building blocks,library,current,Active,:crystal_ball: Better Reflection is a reflection API that aims to improve and provide more features than PHP's built-in reflection API.,,source-reflection,generic,,,,composer require roave/better-reflection,~8.4.1 || ~8.5.0,https://github.com/Roave/BetterReflection,https://github.com/Roave/BetterReflection,https://packagist.org/packages/roave/better-reflection,6.72.0,6.72.0,1245,2026-08-06T19:01:17Z,2026-08-08,,
checkmarx,Checkmarx,SaaS,hosted-services,Hosted analysis services,hosted-service,current,Unknown,Checkmarx scans PHP source code for security vulnerabilities and helps teams review and remediate findings.,,security|sast,generic,,,,,,https://checkmarx.com/glossary/php-static-code-analysis/,,,,,0,,2026-08-08,,
churn-php,churn-php,Metrics,metrics,Metrics and architecture,metrics,current,Inactive,Discover files in need of refactoring.,,churn|complexity,git,,,,composer require --dev bmitch/churn-php,>=7.1.3,https://github.com/bmitch/churn-php,https://github.com/bmitch/churn-php,https://packagist.org/packages/bmitch/churn-php,1.7.3,1.7.3,1376,2025-12-31T12:03:13Z,2026-08-08,,
codacy,Codacy,SaaS,hosted-services,Hosted analysis services,hosted-service,current,Unknown,"Codacy checks pull requests for code-quality issues, vulnerabilities, secrets, and risky dependencies, then enforces quality gates.",Continuous code quality and security checks across repositories,code-quality|security|quality-gates,generic,,,,,,https://www.codacy.com/,,,,,0,,2026-08-08,,
code-climate,Code Climate,SaaS,hosted-services,Hosted analysis services,hosted-service,historical,Historical,"Historical Code Climate Quality service, succeeded by Qlty Software and the Qlty CLI.",Historical reference for the service now continued as Qlty.,code-quality|maintainability,generic,,,,,,https://codeclimate.com/blog/code-climate-quality-is-now-qlty-software,,,,,0,,2026-08-08,,
composer-dependency-analyser,composer-dependency-analyser,Bugs finders,bug-finders,Bug finders,analyzer,current,Active,"🚀 Fast detection of composer dependency issues (unused dependencies, shadow dependencies, misplaced dependencies)",,dependency-analysis,composer,,,,composer require --dev shipmonk/composer-dependency-analyser,^7.2 || ^8.0,https://github.com/shipmonk-rnd/composer-dependency-analyser,https://github.com/shipmonk-rnd/composer-dependency-analyser,https://packagist.org/packages/shipmonk/composer-dependency-analyser,1.8.4,1.8.4,625,2026-08-04T15:30:38Z,2026-08-08,,
composer-normalize,composer-normalize,Coding standards,coding-standards,Coding standards,fixer,current,Active,🎵 Provides a composer plugin for normalizing composer.json.,,manifest-style,composer,,,,composer require --dev ergebnis/composer-normalize,~7.4.0 || ~8.0.0 || ~8.1.0 || ~8.2.0 || ~8.3.0 || ~8.4.0 || ~8.5.0,https://github.com/ergebnis/composer-normalize,https://github.com/ergebnis/composer-normalize,https://packagist.org/packages/ergebnis/composer-normalize,2.52.0,2.52.0,1115,2026-08-02T22:02:48Z,2026-08-08,,
composer-require-checker,Composer Require Checker,Misc,misc,Specialized tools,analyzer,current,Active,A CLI tool to check whether a specific composer package uses imported symbols that aren't part of its direct composer dependencies,,dependency-analysis,composer,,,,composer require --dev maglnet/composer-require-checker,~8.4.0 || ~8.5.0,https://github.com/maglnet/ComposerRequireChecker,https://github.com/maglnet/ComposerRequireChecker,https://packagist.org/packages/maglnet/composer-require-checker,4.24.0,4.24.0,1008,2026-08-07T02:13:30Z,2026-08-08,,
